lake_id,Lake,Canton,Elevation,Area,is_lake_link,link,latlng,with_geojson,description,lake_type,max_length,max_width,max_depth,water_volume,Region,Date,Altitude,pH,Conductivity,Temperature,O2,16S,18S
121,Mattenalpsee,Bern,1876,18.64,TRUE,https://en.wikipedia.org///wiki/Mattenalpsee,"[46.631959, 8.234841]",TRUE,"Mattenalpsee (or Lake Mattenalp) is a reservoir in the municipality of Innertkirchen, Canton of Berne, Switzerland. Its surface area is 18.6 ha (46 acres). The reservoir receives the water from Gauli Glacier. The water is channeled into Räterichsbodensee.",reservoir,,,,,,,,,,,,,
126,Engstlensee,Bern,1851,45.95,TRUE,https://en.wikipedia.org///wiki/Engstlensee,"[46.7739067, 8.3563524]",TRUE,"Engstlensee is a natural lake used as a reservoir in the municipality of Innertkirchen, Bernese Oberland, Switzerland. It is located near Joch Pass at an elevation of 1850 m. It can be reached by gondola and by foot from Titlis.The reservoir has a volume of 10.7 million m³ whereof 2 million m³ are used for electricity production. The lake's surface area is 44 ha (110 acres).The water of the Engstlensee passes through a tunnel in the neighbouring Gadmental valley before being used in the Fuhren, Hopflauenen and Innertkirchen power stations.An inn  on the shore of the Engstlensee is the scene of a crucial meeting between the protagonists of H. G. Wells' 1913 novel The Passionate Friends.","reservoir, natural lake",,,49 m (161 ft),"10.7 million cubic metres (8,700 acre⋅ft)",,,,,,,,,
129,Gelmersee,Bern,1850,61.7,TRUE,https://en.wikipedia.org///wiki/Gelmersee,"[46.615792, 8.3302012]",TRUE,"Gelmersee (or Lake Gelmer) is a reservoir in Bernese Oberland, Switzerland. The hydroelectric reservoir was completed in 1932, at about the same time as the Grimselsee reservoir, and both are  operated by Kraftwerke Oberhasli. The reservoir's volume is 13 million m³ and its surface area 64.5 ha (159 acres).The reservoir may be reached by the Gelmerbahn from Handegg, Guttannen at 1,412 m. The funicular's track with a length of 1,028 m has a maximum inclination of 106%.",reservoir,,,48 m (157 ft),"13 million cubic metres (11,000 acre⋅ft)",,,,,,,,,
132,Seebergsee,Bern,1831,5.75,TRUE,https://en.wikipedia.org///wiki/Seebergsee,"[46.5775306, 7.443386999999999]",TRUE,"Seebergsee is a lake in the Canton of Berne, Switzerland. Its surface area is 6 ha (15 acres).",,,,15.5 m (51 ft),0.38 hm3 (310 acre⋅ft),,,,,,,,,
144,Räterichsbodensee,Bern,1767,65.77,TRUE,https://en.wikipedia.org///wiki/R%C3%A4terichsbodensee,"[46.5850629, 8.3282547]",TRUE,"Räterichsbodensee is a lake in Guttannen, Oberhasli, Switzerland. The reservoir has a volume of 25 mio m³, a surface area is 0.67 km2 (0.26 sq mi) and is operated by Kraftwerke Oberhasli. It is connected to the river Aare.",reservoir,,,77 m (253 ft),"25 million cubic metres (20,000 acre⋅ft)",,,,,,,,,
151,Oberstockensee,Bern,1665,11.8,TRUE,https://en.wikipedia.org///wiki/Oberstockensee,"[46.6873999, 7.520420000000001]",FALSE,"Oberstockensee is a small lake in the Canton of Bern, Switzerland. Its surface area is 11.8 ha (29 acres). The lake is located above the village of Erlenbach im Simmental, below Stockhorn.During the 19th and 20th centuries, the ""Oberstockensee"" was often called the Vorderstockensee and/or Spetbaerglisee. Local residents still refer to it as the ""Spetbaerglisee.""  Vorderstocken and Spetbaergli are the two alpine meadows that are on opposite sides of the lake.Five people drowned in the ""Oberstockensee"" in a tragic accident on Sunday, 1 August 1869 (the Swiss national ""Independence Day"" holiday) on Mt. Stockhorn: • Johann Gottfried Batzli (1830-1869), the president of the Erlenbach im Simmental Community Council, who only shortly before had been the miller and baker at the lower mill on the ""Wildenbach"" creek in the village and was long remembered because of his winning personality and his friendly, gentle voice • Johannes Batzli (1862-1869), the seven-year-old orphaned son of a first cousin of the community council president • Rudolf Jutzeler (1853-1869), a sixteen-year-old godson of Susanna Katharina Buehler Zurbruegg (1800-1859), the mother-in-law of Johann Gottfried Batzli• David Sulzener Jr. (1851-1869), an eighteen-year-old hired hand working for the Batzli brothers on the ""Hinterstocken"" alpine pasture• Samuel Tschabold (1853-1869), the sixteen-year-old son of Jakob Tschabold Jr. (b. 1806), who had been working with his father on the ""Spetbaergli"" alpine pasture.Although hardly any specific details are known that caused the deathly course of events, oral history reports agree that the little boat set out on the east side of the lake below the ""Oberstocken"" alpine pasture heading for the herdsmen′s little hut on the ""Spetbaergli"" pastures on the west side of the lake.Susanna Katharina Zurbruegg Batzli (1829-1901), who had been with her husband on the ""Hinterstocken"" alpine pasture chose not to accompany the men in their little boat. Picking wild flowers as she walked along the rocky narrow pathway (locally known as ""the evil footpath""), she even heard her husband call to her that it was a pity that she had not joined them on the lovely boat-ride.Not long thereafter, the community council president′s wife saw the overturned boat and young Johannes′ straw hat on the little lake only a short distance from their destination. Those sparse facts support the presumption that the boy′s hat had fallen into the water. When he leaned over the edge of the boat to try and fetch his hat, some of the men tried to deter him. The boat lost its equilibrium and quickly overturned. That assumption seemed valid, particularly when amended with the fact that five persons simply overloaded such a small rowing boat.Upon learning of the tragedy, Erlenbach Pastor Ludwig Wilhelm Bernhard Huerner (1827-1903) and village schoolmaster  Saegesser immediately hiked up the mountain to the site of the accident. On Monday gunsmith Johann Jakob Rieder II (1823-1875) joined with them to dredge the lake in search of the bodies. While Huerner and Saegesser rowed the boat, Rieder handled the long rope to which a three-pronged hook resembling a small anchor was attached. It was a taxing ordeal for the three of them as they went back and forth over the area which Jakob Tschabold pointed out as being the actual scene of the accident. After a lengthy search, they found one corpse and then another, until the last body was finally recovered on Thursday.On Saturday, 7 August 1869, the Reverend Huerner presided over the moving funeral service in Erlenbach i.S. for the five persons. The pastor personally chiseled the five names on the commemorative gravestone near the entrance of the Erlenbach churchyard.The name of Adele Batzli (1898-1999) – a grandniece of Erlenbach Community Council president Johann Gottfried Batzli – appears at the bottom of the gravestone below the names of the five persons who drowned. She donated money to keep up the grave in the churchyard and was therefore allowed to also be buried there and have her name added to the marker.The surnames Batzli and Jutzeler were spelled on the commemorative gravestone without the letter ""t"" in their names, a variation typical of the local Bernese dialect in the Simmental valley. However, two distinct errors remain inexplicable:• The seven-year-old boy who drowned was named Johannes Batzli and not Johann Friedrich (""Joh. Frd. "") as chiseled on the gravestone. Johann Friedrich Batzli Sr., referenced above as ""a first cousin of the community council president,"" was the father of the boy. Little Johannes′ elder brother was Johann Friedrich Batzli Jr. (b. 1860). In the Daerstetten Citizens′ Registers he is recorded as having renounced his Swiss citizenship upon becoming naturalized in ""Jefferson"" in the USA in 1892.• According to the Daerstetten Christening Register (1843–75), Rudolf Jutzeler′s correct date of birth is 29 March 1853.",natural,,,15.3 m (50 ft),,,,,,,,,,
152,Triftsee,Bern,1640,21.7,TRUE,https://en.wikipedia.org///wiki/Triftsee,"[46.690105, 8.359143]",TRUE,"The Triftsee is a lake in the Urner Alps near Gadmen in the canton of Berne, Switzerland. It was formed recently (after 2001) by the melting of the lower part of Trift Glacier.",,,,,,,,,,,,,,
161,Hinterstockensee,Bern,1595,7.93,TRUE,https://en.wikipedia.org///wiki/Hinterstockensee,"[46.6851225, 7.540919199999999]",FALSE,"Hinterstockensee is a lake above Erlenbach im Simmental in the Canton of Berne, Switzerland. The lake is located at an elevation of 1595 m, below Stockhorn (2190 m) and near Oberstockensee (1665 m).In the lake is a 100-metre long (330 ft) island.",,,,18 m (59 ft),,,,,,,,,,
163,Oeschinensee,Bern,1578,114.7,TRUE,https://en.wikipedia.org///wiki/Oeschinen_Lake,"[46.4989089, 7.7291063]",TRUE,"Oeschinen Lake (German: Oeschinensee) is a lake in the Bernese Oberland, Switzerland, 4 kilometres (2.5 mi) east of Kandersteg in the Oeschinen valley. At an elevation of 1,578 metres (5,177 ft), it has a surface area of 1.1147 square kilometres (0.4304 sq mi). Its maximum depth is 56 metres (184 ft).The lake was created by a giant landslide and is fed through a series of mountain creeks and drains underground. The water then resurfaces as the Oeschibach. Part of it is captured for electricity production and as water supply for Kandersteg.In observations from 1931 to 1965, the elevation of the lake surface varied between 1,566.09 metres (5,138.1 ft) and 1,581.9 metres (5,190 ft). The average seasonal variation was 12.2 metres (40 ft) (September/April).The lake is generally frozen during five months, from December to May. From time to time ice skating is possible on the ice.Fish in the lake include Arctic char (Seesaibling), lake trout (Kanadische Seeforelle), rainbow trout (Regenbogenforelle). From January to March, ice fishing is popular.A gondola lift from Kandersteg leads to Oeschinen, 25 minutes by foot from the lake.Since 2007 the lake is part of the Jungfrau-Aletsch-Bietschhorn UNESCO World Heritage Site.As of summer 2021, a circumnavigation of Lake Oeschinen is not possible. The reason for this is the danger of an imminent rockfall on the south shore, which is why paths are closed there.","oligotrophic, holomictic",1.6 km (0.99 mi),1 km (0.62 mi),56 m (184 ft),,Kandersteg,09.10.21,1580,"9,07","107,8","11,4461","9,24",17040,4580
165,Arnensee,Bern,1542,44.99,TRUE,https://en.wikipedia.org///wiki/Arnensee,"[46.3891667, 7.217499999999999]",FALSE,"Arnensee (French: Lac d'Arnon) is a lake in Canton of Berne, Switzerland. The lake in the municipality of Gsteig is used as a reservoir by Romande Energie. The dam was built in 1942. Its volume is 10.5 mio m³ and surface area 0.456 km².",reservoir,1.5 km (0.93 mi),,50 m (160 ft),"10.5 million cubic metres (8,500 acre⋅ft)",,,,,,,,,
166,Hinterburgsee,Bern,1516,4.5,TRUE,https://en.wikipedia.org///wiki/Hinterburgsee,"[46.718056, 8.067222]",FALSE,"Hinterburgsee (or Hinterburgseeli) is a lake in the Canton of Berne, Switzerland. Its surface area is 5 ha (12 acres).",,,,11 m (36 ft),,,,,,,,,,
182,Lauenensee,Bern,1381,8.77,TRUE,https://en.wikipedia.org///wiki/Lauenensee,"[46.39518640000001, 7.332724]",FALSE,"Lauenensee (or Lake Lauenen) are two lakes near Lauenen in the Canton of Berne, Switzerland. At an elevation of 1381 m, their surface area is 0.1 km²: the larger lake has a surface of 8.8 ha, the smaller one of 1.3 ha.The Swiss rock band Span published in 1982 the song ""Louenesee"" (Lake Lauenen in Berense German) about the lake.",,,,3.5 m (11 ft),,,,,,,,,,
